Año ,Mes,Dia ,Hora,Velocidad ,Direccion  
2016,9,8,17,3.1,74
2016,9,8,18,3.98,63
2016,9,8,19,2.94,35
2016,9,8,20,3.16,72
2016,9,8,21,2.81,240
2016,9,8,22,2.69,239
2016,9,8,23,2.44,233
2016,9,8,24,2.77,231
2016,9,9,1,2.7,79
2016,9,9,2,3.38,80
2016,9,9,3,2.94,73
2016,9,9,4,3.53,69
2016,9,9,5,2.85,68
2016,9,9,6,2.87,79
2016,9,9,7,3.4,26
2016,9,9,8,3.84,260
2016,9,9,9,3.04,226
2016,9,9,10,3,62
2016,9,9,11,3.07,78
2016,9,9,12,2.99,82
2016,9,9,13,3.25,226
2016,9,9,14,3.13,15
2016,9,9,15,2.87,67
2016,9,9,16,2.82,71
2016,9,9,17,2.84,34
2016,9,9,18,3.38,66
2016,9,9,19,2.51,136
2016,9,9,20,3.58,70
2016,9,9,21,1.74,59
2016,9,9,22,2.68,62
2016,9,9,23,3.66,24
2016,9,9,24,4.15,257
2016,9,10,1,3.48,55
2016,9,10,2,3.18,242
2016,9,10,3,2.61,64
2016,9,10,4,3.23,222
2016,9,10,5,3.02,299
2016,9,10,6,2.95,78
2016,9,10,7,3.59,248
2016,9,10,8,3.1,271
2016,9,10,9,3.16,64
2016,9,10,10,3.08,210
2016,9,10,11,3.2,45
2016,9,10,12,3.18,97
2016,9,10,13,2.68,81
2016,9,10,14,3.36,79
2016,9,10,15,3.23,-999
2016,9,10,16,3.23,253
2016,9,10,17,3.03,57
2016,9,10,18,2.58,241
2016,9,10,19,2.81,272
2016,9,10,20,2.81,232
2016,9,10,21,2.72,37
2016,9,10,22,3.84,48
2016,9,10,23,3.52,240
2016,9,10,24,3.84,67
2016,9,11,1,3.99,240
2016,9,11,2,3.81,72
2016,9,11,3,2.91,65
2016,9,11,4,2.89,44
2016,9,11,5,2.97,50
2016,9,11,6,2.94,228
2016,9,11,7,2.84,238
2016,9,11,8,2.63,13
2016,9,11,9,3.31,248
2016,9,11,10,3.26,236
2016,9,11,11,3.15,51
2016,9,11,12,2.84,233
2016,9,11,13,3.07,224
2016,9,11,14,3.33,69
2016,9,11,15,2.7,220
2016,9,11,16,3.48,69
2016,9,11,17,3.13,236
2016,9,11,18,3.28,244
2016,9,11,19,3.23,26
2016,9,11,20,3.65,65
2016,9,11,21,3.1,215
2016,9,11,22,3.38,221
2016,9,11,23,3.19,250
2016,9,11,24,3.41,67
2016,9,12,1,3.45,217
2016,9,12,2,3.4,87
2016,9,12,3,3.37,40
2016,9,12,4,3.6,228
2016,9,12,5,3.54,221
2016,9,12,6,3.94,36
2016,9,12,7,3.23,354
2016,9,12,8,3.41,76
2016,9,12,9,3.36,59
2016,9,12,10,3.23,65
2016,9,12,11,4.17,49
2016,9,12,12,3.36,51
2016,9,12,13,4.75,69
2016,9,12,14,4.28,234
2016,9,12,15,3.51,55
